district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-fd4e4eaf23,ANTALYA,GÜNDOĞMUŞ,1175,1.0,365
TR-4140f93f00,ANTALYA,KAŞ,1750,1.0,365
TR-66db1e5f01,ANTALYA,KEMER,412,1.0,365
TR-3655e680c7,ANTALYA,KEPEZ,292,1.0,365
TR-788281d12b,ANTALYA,KONYAALTI,546,1.0,365
TR-54b55552bc,ANTALYA,KORKUTELİ,2433,1.0,365
TR-6e8a40f963,ANTALYA,KUMLUCA,1225,1.0,365
TR-a20ec407d6,ANTALYA,MANAVGAT,2351,1.0,365
TR-65d3833967,ANTALYA,MURATPAŞA,96,1.0,365
TR-6d65c2eaf4,ANTALYA,SERİK,1263,1.0,365
TR-956f3ac4d6,ANTALYA,İBRADI(AYDINKENT),0,1.0,365
TR-6140611774,ARDAHAN,ARDAHAN,0,6.0,365
TR-e42aaa033b,ARDAHAN,DAMAL,165,6.0,365
TR-ef94a72b8a,ARDAHAN,GÖLE,1290,6.0,365
TR-e66d074b62,ARDAHAN,HANAK,647,6.0,365
TR-0345472e11,ARDAHAN,POSOF,583,6.0,365
TR-a1690a9ef5,ARDAHAN,ÇILDIR,988,6.0,365
TR-d8d3b20251,ARTVİN,ARDANUÇ,958,4.0,365
TR-cf04381337,ARTVİN,ARHAVİ,407,4.0,365
TR-8f246e11e8,ARTVİN,ARTVİN,0,4.0,365
TR-bbc6e73035,ARTVİN,BORÇKA,805,4.0,365
TR-53ea76b46b,ARTVİN,HOPA,130,4.0,365
TR-855394d448,ARTVİN,MURGUL(GÖKTAŞ),0,4.0,365
TR-700bdc6471,ARTVİN,YUSUFELİ,2261,4.0,365
TR-fdf38b2df1,ARTVİN,ŞAVŞAT,1316,4.0,365
TR-d1ee55fafc,AYDIN,AYDIN,0,2.0,365
TR-981ebcc274,AYDIN,BOZDOĞAN,859,2.0,365
TR-779cc8d94a,AYDIN,BUHARKENT(ÇUBUKDAĞI),0,2.0,365
TR-fd0d16c383,AYDIN,DİDİM(YENİHİSAR),0,2.0,365
TR-0b816c93d1,AYDIN,GERMENCİK,394,2.0,365
TR-af4e3cea19,AYDIN,KARACASU,727,2.0,365
TR-a7de999225,AYDIN,KARPUZLU,286,2.0,365
TR-66a3b66593,AYDIN,KOÇARLI,455,2.0,365
TR-cc63d7af6d,AYDIN,KUYUCAK,544,2.0,365
TR-c9aed2bbf9,AYDIN,KUŞADASI,265,2.0,365
TR-ab77ba5d2c,AYDIN,KÖŞK,187,2.0,365
TR-2d40920fde,AYDIN,NAZİLLİ,691,2.0,365
TR-aa4ff8cb7a,AYDIN,SULTANHİSAR,220,2.0,365
TR-364cf23dcb,AYDIN,SÖKE,1064,2.0,365
TR-6dc06a060d,AYDIN,YENİPAZAR,245,2.0,365
TR-3cc49fd026,AYDIN,ÇİNE,820,2.0,365
TR-21da047c35,AYDIN,İNCİRLİOVA,188,2.0,365
