il,ilce,yuzey_alani_km2
BALIKESİR,SAVAŞTEPE,427.0
BALIKESİR,SINDIRGI,1387.0
BALIKESİR,SUSURLUK,652.0
BARTIN,AMASRA,178.0
BARTIN,BARTIN_MERKEZ,1091.0
BARTIN,KURUCAŞİLE,152.0
BARTIN,ULUS,909.0
BATMAN,BATMAN_MERKEZ,653.0
BATMAN,BEŞİRİ,809.0
BATMAN,GERCÜŞ,914.0
BATMAN,HASANKEYF,293.0
BATMAN,KOZLUK,1101.0
BATMAN,SASON,706.0
BAYBURT,AYDINTEPE,446.0
BAYBURT,BAYBURT_MERKEZ,2705.0
BAYBURT,DEMİRÖZÜ,594.0
BİLECİK,BİLECİK_MERKEZ,793.0
BİLECİK,BOZÜYÜK,860.0
BİLECİK,GÖLPAZARI,670.0
BİLECİK,İNHİSAR,244.0
BİLECİK,OSMANELİ,490.0
BİLECİK,PAZARYERİ,324.0
BİLECİK,SÖĞÜT,523.0
BİLECİK,YENİPAZAR,273.0
BİNGÖL,ADAKLI,825.0
BİNGÖL,BİNGÖL_MERKEZ,1814.0
BİNGÖL,GENÇ,1443.0
BİNGÖL,KARLIOVA,1566.0
BİNGÖL,KİĞI,483.0
BİNGÖL,SOLHAN,1032.0
BİNGÖL,YAYLADERE,417.0
BİNGÖL,YEDİSU,423.0
BİTLİS,ADİLCEVAZ,1586.0
BİTLİS,AHLAT,1153.0
BİTLİS,BİTLİS_MERKEZ,1064.0
BİTLİS,GÜROYMAK,515.0
BİTLİS,HİZAN,1021.0
BİTLİS,MUTKİ,1069.0
BİTLİS,TATVAN,1885.0
BOLU,BOLU_MERKEZ,1616.0
BOLU,DÖRTDİVAN,634.0
BOLU,GEREDE,1060.0
BOLU,GÖYNÜK,1407.0
BOLU,KIBRISCIK,562.0
BOLU,MENGEN,874.0
BOLU,MUDURNU,1314.0
BOLU,SEBEN,683.0
BOLU,YENİÇAĞA,163.0
BURDUR,AĞLASUN,305.0
BURDUR,ALTINYAYLA,221.0
BURDUR,BUCAK,1511.0
BURDUR,BURDUR_MERKEZ,1567.0
BURDUR,ÇAVDIR,482.0
BURDUR,ÇELTİKÇİ,161.0
BURDUR,GÖLHİSAR,494.0
BURDUR,KARAMANLI,372.0
BURDUR,KEMER,373.0
BURDUR,TEFENNİ,582.0
BURDUR,YEŞİLOVA,1108.0
BURSA,BÜYÜKORHAN,505.0
BURSA,GEMLİK,401.0
BURSA,GÜRSU,106.0
BURSA,HARMANCIK,400.0
BURSA,İNEGÖL,1118.0
BURSA,İZNİK,753.0
BURSA,KARACABEY,1158.0
BURSA,KELES,617.0
BURSA,KESTEL,396.0
BURSA,MUDANYA,369.0
BURSA,MUSTAFAKEMALPAŞA,1641.0
BURSA,NİLÜFER,552.0
BURSA,ORHANELİ,838.0
BURSA,ORHANGAZİ,506.0
BURSA,OSMANGAZİ,621.0
BURSA,YENİŞEHİR,720.0
BURSA,YILDIRIM,110.0
ÇANAKKALE,AYVACIK,880.0
ÇANAKKALE,BAYRAMİÇ,1204.0
ÇANAKKALE,BİGA,1310.0
ÇANAKKALE,BOZCAADA,37.0
ÇANAKKALE,ÇAN,905.0
ÇANAKKALE,ÇANAKKALE_MERKEZ,1016.0
ÇANAKKALE,ECEABAT,430.0
ÇANAKKALE,EZİNE,727.0
ÇANAKKALE,GELİBOLU,823.0
ÇANAKKALE,GÖKÇEADA,282.0
ÇANAKKALE,LÂPSEKİ,821.0
ÇANAKKALE,YENİCE,1381.0
ÇANKIRI,ATKARACALAR,234.0
ÇANKIRI,BAYRAMÖREN,310.0
ÇANKIRI,ÇANKIRI_MERKEZ,1440.0
ÇANKIRI,ÇERKEŞ,947.0
ÇANKIRI,ELDİVAN,350.0
ÇANKIRI,ILGAZ,845.0
ÇANKIRI,KIZILIRMAK,514.0
ÇANKIRI,KORGUN,378.0
ÇANKIRI,KURŞUNLU,609.0
ÇANKIRI,ORTA,706.0
ÇANKIRI,ŞABANÖZÜ,467.0
ÇANKIRI,YAPRAKLI,741.0
ÇORUM,ALACA,1296.0
ÇORUM,BAYAT,717.0
ÇORUM,BOĞAZKALE,264.0
ÇORUM,ÇORUM_MERKEZ,2436.0
