il,ilce,yuzey_alani_km2
MANİSA,AHMETLİ,227.0
MANİSA,AKHİSAR,1645.0
MANİSA,ALAŞEHİR,971.0
MANİSA,DEMİRCİ,1321.0
MANİSA,GÖLMARMARA,310.0
MANİSA,GÖRDES,902.0
MANİSA,KIRKAĞAÇ,541.0
MANİSA,KÖPRÜBAŞI,447.0
MANİSA,KULA,981.0
MANİSA,SALİHLİ,1359.0
MANİSA,SARIGÖL,432.0
MANİSA,SARUHANLI,771.0
MANİSA,SELENDİ,726.0
MANİSA,SOMA,820.0
MANİSA,ŞEHZADELER,515.0
MANİSA,TURGUTLU,549.0
MANİSA,YUNUSEMRE,823.0
MARDİN,ARTUKLU,885.0
MARDİN,DARGEÇİT,519.0
MARDİN,DERİK,1381.0
MARDİN,KIZILTEPE,1236.0
MARDİN,MAZIDAĞI,850.0
MARDİN,MİDYAT,1241.0
MARDİN,NUSAYBİN,1079.0
MARDİN,ÖMERLİ,458.0
MARDİN,SAVUR,962.0
MARDİN,YEŞİLLİ,168.0
MERSİN,AKDENİZ,265.0
MERSİN,ANAMUR,1430.0
MERSİN,AYDINCIK,352.0
MERSİN,BOZYAZI,642.0
MERSİN,ÇAMLIYAYLA,602.0
MERSİN,ERDEMLİ,2279.0
MERSİN,GÜLNAR,1416.0
MERSİN,MEZİTLİ,371.0
MERSİN,MUT,2718.0
MERSİN,SİLİFKE,2692.0
MERSİN,TARSUS,2029.0
MERSİN,TOROSLAR,1075.0
MERSİN,YENİŞEHİR,139.0
MUĞLA,BODRUM,650.0
MUĞLA,DALAMAN,608.0
MUĞLA,DATÇA,436.0
MUĞLA,FETHİYE,875.0
MUĞLA,KAVAKLIDERE,302.0
MUĞLA,KÖYCEĞİZ,1329.0
MUĞLA,MARMARİS,906.0
MUĞLA,MENTEŞE,1659.0
MUĞLA,MİLAS,2067.0
MUĞLA,ORTACA,285.0
MUĞLA,SEYDİKEMER,2208.0
MUĞLA,ULA,479.0
MUĞLA,YATAĞAN,851.0
MUŞ,BULANIK,1948.0
MUŞ,HASKÖY,264.0
MUŞ,KORKUT,775.0
MUŞ,MALAZGİRT,1595.0
MUŞ,MUŞ_MERKEZ,2818.0
MUŞ,VARTO,1318.0
NEVŞEHİR,ACIGÖL,456.0
NEVŞEHİR,AVANOS,995.0
NEVŞEHİR,DERİNKUYU,473.0
NEVŞEHİR,GÜLŞEHİR,879.0
NEVŞEHİR,HACIBEKTAŞ,750.0
NEVŞEHİR,KOZAKLI,772.0
NEVŞEHİR,NEVŞEHİR_MERKEZ,574.0
NEVŞEHİR,ÜRGÜP,587.0
NİĞDE,ALTUNHİSAR,552.0
NİĞDE,BOR,1522.0
NİĞDE,ÇAMARDI,1163.0
NİĞDE,ÇİFTLİK,400.0
NİĞDE,NİĞDE_MERKEZ,2223.0
NİĞDE,ULUKIŞLA,1375.0
ORDU,AKKUŞ,697.0
ORDU,ALTINORDU,410.0
ORDU,AYBASTI,250.0
ORDU,ÇAMAŞ,81.0
ORDU,ÇATALPINAR,101.0
ORDU,ÇAYBAŞI,102.0
ORDU,FATSA,363.0
ORDU,GÖLKÖY,421.0
ORDU,GÜLYALI,62.0
ORDU,GÜRGENTEPE,185.0
ORDU,İKİZCE,148.0
ORDU,KABADÜZ,343.0
ORDU,KABATAŞ,74.0
ORDU,KORGAN,254.0
ORDU,KUMRU,296.0
ORDU,MESUDİYE,1046.0
ORDU,PERŞEMBE,217.0
ORDU,ULUBEY,295.0
ORDU,ÜNYE,569.0
OSMANİYE,BAHÇE,208.0
OSMANİYE,DÜZİÇİ,595.0
OSMANİYE,HASANBEYLİ,168.0
OSMANİYE,KADİRLİ,1021.0
OSMANİYE,OSMANİYE_MERKEZ,859.0
OSMANİYE,SUMBAS,358.0
OSMANİYE,TOPRAKKALE,112.0
RİZE,ARDEŞEN,376.0
RİZE,ÇAMLIHEMŞİN,897.0
RİZE,ÇAYELİ,442.0
RİZE,DEREPAZARI,28.0
RİZE,FINDIKLI,383.0
RİZE,GÜNEYSU,159.0
RİZE,HEMŞİN,134.0
RİZE,İKİZDERE,855.0
RİZE,İYİDERE,28.0
RİZE,KALKANDERE,107.0
RİZE,PAZAR,173.0
RİZE,RİZE_MERKEZ,253.0
SAKARYA,ADAPAZARI,324.0
SAKARYA,AKYAZI,628.0
SAKARYA,ARİFİYE,75.0
SAKARYA,ERENLER,136.0
SAKARYA,FERİZLİ,173.0
SAKARYA,GEYVE,662.0
SAKARYA,HENDEK,646.0
SAKARYA,KARAPÜRÇEK,142.0
SAKARYA,KARASU,411.0
SAKARYA,KAYNARCA,343.0
SAKARYA,KOCAALİ,254.0
SAKARYA,PAMUKOVA,289.0
SAKARYA,SAPANCA,173.0
SAKARYA,SERDİVAN,130.0
SAKARYA,SÖĞÜTLÜ,145.0
SAKARYA,TARAKLI,292.0
SAMSUN,2021-05-19,234.0
SAMSUN,ALAÇAM,598.0
SAMSUN,ASARCIK,253.0
SAMSUN,ATAKUM,351.0
SAMSUN,AYVACIK,382.0
SAMSUN,BAFRA,1503.0
SAMSUN,CANİK,264.0
SAMSUN,ÇARŞAMBA,774.0
SAMSUN,HAVZA,865.0
SAMSUN,İLKADIM,155.0
SAMSUN,KAVAK,697.0
SAMSUN,LADİK,541.0
SAMSUN,SALIPAZARI,356.0
SAMSUN,TEKKEKÖY,326.0
SAMSUN,TERME,548.0
SAMSUN,VEZİRKÖPRÜ,1674.0
SAMSUN,YAKAKENT,204.0
SİİRT,BAYKAN,488.0
SİİRT,ERUH,1061.0
SİİRT,KURTALAN,811.0
SİİRT,PERVARİ,1651.0
SİİRT,SİİRT_MERKEZ,633.0
SİİRT,ŞİRVAN,936.0
SİİRT,TİLLO,138.0
SİNOP,AYANCIK,862.0
SİNOP,BOYABAT,1512.0
SİNOP,DİKMEN,411.0
SİNOP,DURAĞAN,995.0
SİNOP,ERFELEK,412.0
SİNOP,GERZE,487.0
SİNOP,SARAYDÜZÜ,334.0
SİNOP,SİNOP_MERKEZ,442.0
SİNOP,TÜRKELİ,263.0
SİVAS,AKINCILAR,432.0
SİVAS,ALTINYAYLA,654.0
SİVAS,DİVRİĞİ,2632.0
SİVAS,DOĞANŞAR,370.0
SİVAS,GEMEREK,1131.0
SİVAS,GÖLOVA,286.0
SİVAS,GÜRÜN,2632.0
SİVAS,HAFİK,1765.0
SİVAS,İMRANLI,1292.0
SİVAS,KANGAL,3342.0
SİVAS,KOYULHİSAR,891.0
SİVAS,SİVAS_MERKEZ,3488.0
SİVAS,SUŞEHRİ,939.0
SİVAS,ŞARKIŞLA,2073.0
SİVAS,ULAŞ,1092.0
SİVAS,YILDIZELİ,2529.0
SİVAS,ZARA,2616.0
ŞANLIURFA,AKÇAKALE,1038.0
ŞANLIURFA,BİRECİK,912.0
ŞANLIURFA,BOZOVA,1329.0
ŞANLIURFA,CEYLANPINAR,1589.0
ŞANLIURFA,EYYÜBİYE,1626.0
ŞANLIURFA,HALFETİ,609.0
ŞANLIURFA,HALİLİYE,1924.0
ŞANLIURFA,HARRAN,904.0
ŞANLIURFA,HİLVAN,1111.0
ŞANLIURFA,KARAKÖPRÜ,1222.0
ŞANLIURFA,SİVEREK,3936.0
ŞANLIURFA,SURUÇ,744.0
ŞANLIURFA,VİRANŞEHİR,2297.0
ŞIRNAK,BEYTÜŞŞEBAP,1647.0
ŞIRNAK,CİZRE,444.0
ŞIRNAK,GÜÇLÜKONAK,466.0
ŞIRNAK,İDİL,1148.0
ŞIRNAK,SİLOPİ,831.0
ŞIRNAK,ŞIRNAK_MERKEZ,1701.0
ŞIRNAK,ULUDERE,841.0
TEKİRDAĞ,ÇERKEZKÖY,86.0
TEKİRDAĞ,ÇORLU,531.0
TEKİRDAĞ,ERGENE,418.0
TEKİRDAĞ,HAYRABOLU,1009.0
TEKİRDAĞ,KAPAKLI,182.0
TEKİRDAĞ,MALKARA,1243.0
TEKİRDAĞ,MARMARA EREĞLİSİ,175.0
TEKİRDAĞ,MURATLI,388.0
TEKİRDAĞ,SARAY,620.0
TEKİRDAĞ,SÜLEYMANPAŞA,1053.0
TEKİRDAĞ,ŞARKÖY,487.0
TOKAT,ALMUS,1033.0
TOKAT,ARTOVA,444.0
TOKAT,BAŞÇİFTLİK,246.0
TOKAT,ERBAA,1173.0
TOKAT,NİKSAR,889.0
TOKAT,PAZAR,188.0
TOKAT,REŞADİYE,1102.0
TOKAT,SULUSARAY,266.0
TOKAT,TOKAT_MERKEZ,2003.0
TOKAT,TURHAL,940.0
TOKAT,YEŞİLYURT,280.0
TOKAT,ZİLE,1480.0
TRABZON,AKÇAABAT,375.0
TRABZON,ARAKLI,464.0
TRABZON,ARSİN,157.0
TRABZON,BEŞİKDÜZÜ,84.0
TRABZON,ÇARŞIBAŞI,66.0
TRABZON,ÇAYKARA,574.0
TRABZON,DERNEKPAZARI,89.0
TRABZON,DÜZKÖY,125.0
TRABZON,HAYRAT,244.0
TRABZON,KÖPRÜBAŞI,189.0
TRABZON,MAÇKA,925.0
TRABZON,OF,258.0
TRABZON,ORTAHİSAR,235.0
TRABZON,SÜRMENE,166.0
TRABZON,ŞALPAZARI,161.0
TRABZON,TONYA,176.0
TRABZON,VAKFIKEBİR,141.0
TRABZON,YOMRA,200.0
TUNCELİ,ÇEMİŞGEZEK,851.0
TUNCELİ,HOZAT,663.0
TUNCELİ,MAZGİRT,702.0
TUNCELİ,NAZIMİYE,543.0
TUNCELİ,OVACIK,1401.0
TUNCELİ,PERTEK,858.0
TUNCELİ,PÜLÜMÜR,1437.0
TUNCELİ,TUNCELİ_MERKEZ,1128.0
UŞAK,BANAZ,1114.0
UŞAK,EŞME,1156.0
UŞAK,KARAHALLI,330.0
UŞAK,SİVASLI,473.0
UŞAK,ULUBEY,828.0
UŞAK,UŞAK_MERKEZ,1655.0
VAN,BAHÇESARAY,426.0
VAN,BAŞKALE,2727.0
VAN,ÇALDIRAN,1478.0
VAN,ÇATAK,1952.0
VAN,EDREMİT,515.0
VAN,ERCİŞ,2133.0
VAN,GEVAŞ,1544.0
VAN,GÜRPINAR,4028.0
VAN,İPEKYOLU,956.0
VAN,MURADİYE,912.0
VAN,ÖZALP,1430.0
VAN,SARAY,872.0
VAN,TUŞBA,1948.0
YALOVA,ALTINOVA,113.0
YALOVA,ARMUTLU,166.0
YALOVA,ÇINARCIK,178.0
YALOVA,ÇİFTLİKKÖY,136.0
YALOVA,TERMAL,67.0
YALOVA,YALOVA_MERKEZ,139.0
YOZGAT,AKDAĞMADENİ,1810.0
YOZGAT,AYDINCIK,338.0
YOZGAT,BOĞAZLIYAN,1515.0
YOZGAT,ÇANDIR,205.0
YOZGAT,ÇAYIRALAN,995.0
YOZGAT,ÇEKEREK,790.0
YOZGAT,KADIŞEHRİ,472.0
YOZGAT,SARAYKENT,319.0
YOZGAT,SARIKAYA,1018.0
YOZGAT,SORGUN,1768.0
YOZGAT,ŞEFAATLİ,882.0
YOZGAT,YENİFAKILI,390.0
YOZGAT,YERKÖY,1164.0
YOZGAT,YOZGAT_MERKEZ,2024.0
ZONGULDAK,ALAPLI,383.0
ZONGULDAK,ÇAYCUMA,492.0
ZONGULDAK,DEVREK,953.0
ZONGULDAK,EREĞLİ,736.0
ZONGULDAK,GÖKÇEBEY,183.0
ZONGULDAK,KİLİMLİ,145.0
ZONGULDAK,KOZLU,177.0
ZONGULDAK,ZONGULDAK_MERKEZ,272.0
